Temp,Mean Absolute Magnetization,Susceptibility,Mean Energy / Spin,Specific Heat
2,0.911605,0.348581,-1.74638,0.668365
2.025,0.900447,0.542218,-1.72541,0.836283
2.05,0.882322,1.20652,-1.69589,1.00451
2.075,0.878788,0.90904,-1.68155,0.932481
2.1,0.876281,0.574541,-1.66899,0.861005
2.125,0.828352,1.96541,-1.61192,1.23036
2.15,0.833897,1.73348,-1.60691,1.18801
2.175,0.807252,1.75804,-1.57059,1.25704
2.2,0.789677,2.15318,-1.54571,1.24217
2.225,0.749408,4.39585,-1.51109,1.53953
2.25,0.701402,4.73374,-1.45097,1.60083
2.275,0.670528,5.81335,-1.42857,1.53725
2.3,0.693228,4.63153,-1.42146,1.54873
2.325,0.600834,6.50182,-1.35104,1.617
2.35,0.598684,5.67772,-1.3342,1.4775
2.375,0.588436,5.5506,-1.3131,1.4605
2.4,0.514877,6.33621,-1.25624,1.46066
2.425,0.456733,6.62447,-1.21009,1.33331
2.45,0.419361,5.60985,-1.1714,1.14413
2.475,0.416825,5.55649,-1.1585,1.10451
2.5,0.401389,4.86956,-1.13035,1.04535
