Temp,Mean Absolute Magnetization,Susceptibility,Mean Energy / Spin,Specific Heat
1,0.999295,0.00153225,-1.99724,0.0229714
1.1,0.998516,0.00298153,-1.99426,0.0383273
1.2,0.996959,0.00604848,-1.98831,0.0710199
1.3,0.994622,0.0101743,-1.97969,0.102633
1.4,0.991167,0.0168833,-1.96733,0.144265
1.5,0.986287,0.0276924,-1.9504,0.203381
1.6,0.980067,0.0406656,-1.92976,0.254853
1.7,0.970108,0.0604338,-1.89761,0.317845
1.8,0.956158,0.123944,-1.85826,0.464747
1.9,0.93953,0.164752,-1.81048,0.539464
2,0.912013,0.303143,-1.74346,0.705259
2.1,0.86088,1.55322,-1.65722,1.02894
2.2,0.802841,2.15854,-1.55585,1.19485
2.3,0.702936,4.18529,-1.42978,1.46531
2.4,0.523081,5.91924,-1.26337,1.42764
2.5,0.386033,5.15109,-1.12945,1.07222
2.6,0.303747,4.12356,-1.04346,0.821736
2.7,0.251744,2.78765,-0.964716,0.623662
2.8,0.199164,1.85151,-0.903853,0.503558
2.9,0.193745,1.64867,-0.856291,0.4241
3,0.170191,1.28314,-0.81545,0.394439
3.1,0.154898,1.14654,-0.780991,0.353389
3.2,0.145489,1.02916,-0.748491,0.336121
3.3,0.143714,0.843291,-0.716769,0.288861
3.4,0.128817,0.670476,-0.685166,0.26894
3.5,0.118633,0.589459,-0.657619,0.255883
